country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	AgeMortProjMethod1	AgeMortProjMethod2	AgeMortProjPattern	AgeMortProjMethodWeights	AgeMortProjAdjSR	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	SmoothDFLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	ConstantPasfr	PasfrFarEastAsianNorm	PasfrSouthAsianNorm	MigAgeSchedule	MigAgeZeroNeg	MigAgeEqualMFratio	MigFDMb0	MigFDMb1	MigFDMsrin	MigFDMsrout
140	Central African Republic	IW	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.49688818122549	0.499784955459773
144	Sri Lanka	YK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.461656493592673	0.490344942630278
148	Chad	IW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.50487165851889	0.51112548788597
152	Chile	HC	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	0	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.000100854009350256	0.5	0.497734889988537	0.492864367047236
156	China	PG	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,1)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.510798328333299	0.521794626202017
158	China, Taiwan Province of China	PG	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_North	c(1,0.75)	3	c(-4,5)	1	65	Global Norm	0	0	1	0	156	0	1	0.007	0.5	0.5	0.5
170	Colombia	HC	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	4.65032338911222e-06	0.5	0.502829283551438	0.513873468306764
174	Comoros	VK	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.503920579251915	0.534645470151564
175	Mayotte	VK	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	3	1	0	65	Global Norm	0	0	0	0	638	0	1	5e-04	0.5	0.577906205839428	0.497330278972854
178	Congo	IW	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.491639200691988	0.496169943585757
180	Dem. Republic of the Congo	IW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.503713070492767	0.509981939361534
184	Cook Islands	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	UN_Far_Eastern	c(1,0.85)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.5118276200499	0.489751742187947
188	Costa Rica	HC	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	1e-05	0.5	0.49905744802009	0.500401395912909
191	Croatia	MWVK	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.9)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.508698686968784	0.522174884392648
192	Cuba	HC	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	3	c(-3,5)	1	65	Global Norm	0	0	0	0	0	0	0	1e-05	0.5	0.514903076768972	0.51250574684485
196	Cyprus	YK	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	3	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.506199492525021	0.510139337990907
203	Czechia	MWVK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.9)	0	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.489595319229329	0.507883540498899
204	Benin	IW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.496714272512646	0.49964352777792
208	Denmark	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC	""	""	""	0	c(-4,5)	1	35	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.499327746368607	0.505520197360123
212	Dominica	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	UN_Far_Eastern	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.516408941857949	0.508156438894319
214	Dominican Republic	HC	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.00109125162621011	0.5	0.508120029639918	0.506085919472316
218	Ecuador	HC	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	1e-05	0.5	0.506082009164837	0.51907628061729
222	El Salvador	HC	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.00113902003508153	0.5	0.503865706189316	0.501781570874154
226	Equatorial Guinea	PLIW	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.432452699983708	0.504830863053677
231	Ethiopia	IW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.75)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.497630373669377	0.510958047781482
232	Eritrea	IW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.75)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.487336048842678	0.497070855463848
233	Estonia	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.9)	3	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.001	0.5	0.505967503161466	0.543277240838337
234	Faroe Islands	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	0	c(-4,5)	0	65	Global Norm	0	0	0	0	0	0	0	5e-04	0.5	0.505856482117314	0.514633718892394
238	Falkland Islands (Malvinas)	PG	1	1950	9	0	Model life tables	CD_West	MLT	""	CD_West	""	0	0	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.479296733540958	0.492330002096583
242	Fiji	LZ	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_North	c(1,0.5)	0	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.509739897038699	0.482083251509194
246	Finland	MW	0	1950	9	0	Age specific mortality pattern	CD_North	LC	""	""	""	0	c(-4,5)	1	35	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.487916211335772	0.517329325775223
250	France	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC	""	""	""	0	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.521052521538242	0.502930275071735
254	French Guiana	SESH	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	0	c(-4,5)	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.496521808176426	0.495950011889873
258	French Polynesia	LZ	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.75)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.461299094133208	0.463545365328572
262	Djibouti	PLIW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.49363330737911	0.492962615606838
266	Gabon	IW	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.429713853248865	0.432391879544327
268	Georgia	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.9)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.502665084620235	0.502906244096468
270	Gambia	IW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.431387891451669	0.44728611382503
275	State of Palestine	SH	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.5)	0	c(-1,1)	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.487795153556775	0.488619586834303
276	Germany	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	LC	""	""	""	0	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.492829762979415	0.486792426971108
288	Ghana	IW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.479516347686817	0.487066984434974
292	Gibraltar	PG	1	1950	9	0	Model life tables	CD_North	MLT	""	CD_North	""	0	0	0	65	Global Norm	0	0	0	0	0	0	0	5e-04	0.5	0.505121368417985	0.502759638550326
296	Kiribati	LZ	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.521637601803709	0.443947777890308
300	Greece	MW	0	1950	9	0	Age specific mortality pattern	CD_North	LC	""	""	""	0	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.489175517111337	0.512846237068004
304	Greenland	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	UN_Far_Eastern	c(1,0.85)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.487619761967909	0.519165545022085
308	Grenada	LZ	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.52609173553719	0.513673196723331
312	Guadeloupe	LZ	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	0	c(-4,5)	1	65	ConstantPasfr	0	1	0	0	0	0	0	0.001	0.5	0.549112199001431	0.492348413204238
316	Guam	LZ	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	0	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.496487962029363	0.497939094431781
320	Guatemala	HC	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	1e-05	0.5	0.503457100952415	0.50381148074381
324	Guinea	IW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.469339356286127	0.455926247975713
328	Guyana	SESH	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_North	c(1,0.5)	0	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.52041051409362	0.505651329667349
332	Haiti	HC	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,1)	0	65	Global Norm	0	0	0	0	0	0	0	0.000213860189643957	0.5	0.479411493748387	0.490974020882616
336	Holy See	PG	1	1950	9	0	Model life tables	CD_West	MLT	""	CD_West	""	3	0	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.5	0.5
340	Honduras	HC	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	1e-05	0.5	0.53434784430696	0.529151190189559
344	China, Hong Kong SAR	PG	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_North	c(1,0.9)	3	c(-4,5)	1	65	ConstantPasfr	0	1	1	0	0	0	0	0.007	0.5	0.555153214431447	0.551220336503251
348	Hungary	MW	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.9)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.472884908070595	0.492024646246637
352	Iceland	MW	0	1950	9	0	Age specific mortality pattern	CD_North	LC	""	""	""	0	c(-4,10)	1	35	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.456460091298935	0.51339031605606
356	India	SH	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	1	0	0	0	0.001	0.5	0.449899042558749	0.474649366194063
360	Indonesia	SESH	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_North	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.469836978167515	0.491761641532222
364	Iran (Islamic Republic of)	SH	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.48765276424045	0.486287151797101
368	Iraq	SH	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.502191889290243	0.506154024849213
372	Ireland	MW	0	1950	9	0	Age specific mortality pattern	CD_North	LC	""	""	""	0	c(-4,10)	1	35	ConstantPasfr	0	1	0	0	0	0	0	0.007	0.5	0.498254839831522	0.496320146429839
376	Israel	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	LC	""	""	""	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.514123055839764	0.518832978705155
380	Italy	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC	""	""	""	0	c(-4,5)	1	65	ConstantPasfr	0	1	0	0	0	0	0	0.007	0.5	0.484153789134256	0.494840459546463
384	C?te d'Ivoire	IW	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.483547487624439	0.487275228769535
388	Jamaica	JM	0	1950	9	0	Model life tables	HIVmortmod	modPMD	MLT	CD_West	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.526467209844544	0.518193908574159
392	Japan	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC	""	""	""	0	c(-4,5)	1	65	Global Norm	1	0	1	0	0	0	0	0.007	0.5	0.524659708665051	0.514770790366059
398	Kazakhstan	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.75)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.514354242303249	0.513549363890958
400	Jordan	SH	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.479336891601638	0.470615543545523
404	Kenya	JM	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.52417995065267	0.487318704938108
408	Dem. People's Rep. of Korea	IW	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_North	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.47665899995018	0.510893979078281
410	Republic of Korea	SESH	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	0	c(-4,5)	1	65	ConstantPasfr	0	1	1	0	0	0	0	0.007	0.5	0.493871083666662	0.477154975094632
412	Kosovo (under UNSC res. 1244)	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.9)	3	c(-4,5)	1	65	ConstantPasfr	0	1	0	0	0	0	0	0.001	0.5	0.5	0.5
414	Kuwait	SH	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	3	c(-4,5)	0	65	Global Norm	0	0	0	0	0	0	0	0.09	0.5	0.390539419435547	0.451537367266944
417	Kyrgyzstan	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.75)	3	c(-4,5)	1	65	ConstantPasfr	0	1	0	0	0	0	0	0.001	0.5	0.520617814144099	0.512926311084519
418	Lao People's Dem. Republic	JM	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.75)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.517048345401762	0.513809129746798
422	Lebanon	SH	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.499462814572646	0.47667334791748
426	Lesotho	PG	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_West	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.517397806174835	0.554642765295893
428	Latvia	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.9)	3	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.001	0.5	0.521719180564999	0.535525951171716
430	Liberia	IW	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.488654837653525	0.498577050516045
434	Libya	VK	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	3	c(-5,1)	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.40754055112394	0.408474119338605
438	Liechtenstein	PG	1	1950	9	0	Model life tables	CD_West	MLT	""	CD_West	""	0	0	0	65	ConstantPasfr	0	1	0	0	0	0	0	0.007	0.5	0.507018623379424	0.500438831056146
440	Lithuania	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.9)	3	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.001	0.5	0.488307762522951	0.538658252922638
