country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	AgeMortProjMethod1	AgeMortProjMethod2	AgeMortProjPattern	AgeMortProjMethodWeights	AgeMortProjAdjSR	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	SmoothDFLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	ConstantPasfr	PasfrFarEastAsianNorm	PasfrSouthAsianNorm	MigAgeSchedule	MigAgeZeroNeg	MigAgeEqualMFratio
204	Benin	TS	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
60	Bermuda	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.85)"	3	"c(-2,5)"	0	65	ConstantPasfr	0	1	0	0	0	0	0
64	Bhutan	DG	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
68	Bolivia (Plurinational State of)	GBGB	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	1	0
535	"Bonaire, Sint Eustatius and Saba"	PG	1	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
70	Bosnia and Herzegovina	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
72	Botswana	PG	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
76	Brazil	GBHC	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
92	British Virgin Islands	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	UN_Far_Eastern	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
96	Brunei Darussalam	DG	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_North	"c(1,0.75)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
100	Bulgaria	MW	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
854	Burkina Faso	TS	0	1950	9	0	Model life tables	CD_South	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
108	Burundi	TS	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
132	Cabo Verde	IW	0	1950	9	0	Age specific mortality pattern	HIVmortmod	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
116	Cambodia	PG	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.75)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
120	Cameroon	TS	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
124	Canada	LZ	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
136	Cayman Islands	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
140	Central African Republic	TS	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
148	Chad	TS	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
152	Chile	GBHC	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
156	China	DG	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	1	65	Global Norm	0	0	0	0	0	0	0
344	"China, Hong Kong SAR"	DG	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_North	"c(1,0.9)"	3	"c(-2,5)"	1	65	ConstantPasfr	0	1	1	0	0	0	0
446	"China, Macao SAR"	DG	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_North	"c(1,0.75)"	0	"c(-2,5)"	1	65	ConstantPasfr	0	1	1	0	0	0	0
158	"China, Taiwan Province of China"	DG	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_North	"c(1,0.75)"	3	"c(-2,5)"	1	65	Global Norm	0	0	1	0	156	0	1
170	Colombia	JMHC	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
174	Comoros	VK	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
178	Congo	TS	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	3	"c(-3,1)"	0	65	Global Norm	0	0	0	0	0	0	0
184	Cook Islands	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	UN_Far_Eastern	"c(1,0.85)"	0	1	0	65	Global Norm	0	0	0	0	0	0	0
188	Costa Rica	GBGB	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
384	Côte d'Ivoire	TS	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
191	Croatia	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.9)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
192	Cuba	HCGB	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
531	Curaçao	IW	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	388	0	1
196	Cyprus	DG	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
203	Czechia	LZ	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.9)"	0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
408	Dem. People's Rep. of Korea	TS	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
180	Dem. Republic of the Congo	TS	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
208	Denmark	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
262	Djibouti	GG	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
212	Dominica	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	UN_Far_Eastern	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
214	Dominican Republic	GBHC	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
218	Ecuador	JMHC	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
818	Egypt	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
222	El Salvador	GBGB	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
226	Equatorial Guinea	IW	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
232	Eritrea	TS	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.75)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
233	Estonia	LZ	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.9)"	3	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
748	Eswatini	PG	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
231	Ethiopia	TS	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.75)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
234	Faroe Islands	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,5)"	0	65	Global Norm	0	0	0	0	0	0	0
238	Falkland Islands (Malvinas)	PG	1	1950	9	0	Model life tables	CD_West	MLT		CD_West		0	0	0	65	Global Norm	0	0	0	0	0	0	0
242	Fiji	GG	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_North	"c(1,0.75)"	0	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
246	Finland	LZ	0	1950	9	0	Age specific mortality pattern	CD_North	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
250	France	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
254	French Guiana	IW	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,5)"	0	65	Global Norm	0	0	0	0	0	0	0
258	French Polynesia	GG	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
266	Gabon	TS	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
270	Gambia	TS	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
268	Georgia	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.9)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
276	Germany	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
288	Ghana	TS	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
292	Gibraltar	PG	1	1950	9	0	Model life tables	CD_North	MLT		CD_North		0	0	0	65	Global Norm	0	0	0	0	0	0	0
300	Greece	MW	0	1950	9	0	Age specific mortality pattern	CD_North	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
304	Greenland	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	UN_Far_Eastern	"c(1,0.85)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
308	Grenada	IW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
312	Guadeloupe	IW	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,5)"	1	65	ConstantPasfr	0	1	0	0	0	0	0
316	Guam	GG	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
320	Guatemala	GBHC	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
831	Guernsey	PG	0	1950	9	0	Model life tables	CD_West	MLT		CD_West		0	0	0	65	Global Norm	0	0	0	0	0	0	0
324	Guinea	TS	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
624	Guinea-Bissau	IW	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
328	Guyana	IW	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
332	Haiti	GBGB	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
336	Holy See	PG	1	1950	9	0	Model life tables	CD_West	MLT		CD_West		3	0	0	65	Global Norm	0	0	0	0	0	0	0
340	Honduras	GBHC	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
348	Hungary	LZ	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.9)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
352	Iceland	MW	0	1950	9	0	Age specific mortality pattern	CD_North	LC				0	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
356	India	SHYK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	1	0	0	0
360	Indonesia	DG	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_North	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
364	Iran (Islamic Republic of)	SHYK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
368	Iraq	SHYK	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
372	Ireland	LZ	0	1950	9	0	Age specific mortality pattern	CD_North	LC				0	"c(-2,5)"	1	65	ConstantPasfr	0	1	0	0	0	0	0
833	Isle of Man	PG	1	1950	9	0	Model life tables	CD_North	MLT		CD_North		0	0	0	65	Global Norm	0	0	0	0	0	0	0
376	Israel	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	LC				3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
380	Italy	LZ	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
388	Jamaica	IW	0	1950	9	0	Model life tables	HIVmortmod	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
392	Japan	LZ	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	1	0	0	0	0
832	Jersey	PG	0	1950	9	0	Model life tables	CD_West	MLT		CD_West		0	0	0	65	Global Norm	1	0	0	0	0	0	0
400	Jordan	SHYK	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
398	Kazakhstan	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
404	Kenya	TS	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
296	Kiribati	GG	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
412	Kosovo (under UNSC res. 1244)	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.9)"	3	"c(-2,5)"	1	65	ConstantPasfr	0	1	0	0	0	0	0
414	Kuwait	SHYK	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
417	Kyrgyzstan	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,5)"	1	65	ConstantPasfr	0	1	0	0	0	0	0
418	Lao People's Dem. Republic	DG	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,5)"	0	65	Global Norm	0	0	0	0	0	0	0
428	Latvia	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.9)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
422	Lebanon	SHYK	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
426	Lesotho	PG	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
430	Liberia	TS	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
434	Libya	VK	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
438	Liechtenstein	PG	1	1950	9	0	Model life tables	CD_West	MLT		CD_West		0	0	0	65	Global Norm	0	0	0	0	0	0	0
440	Lithuania	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.9)"	3	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
442	Luxembourg	LZ	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	"c(-2,5)"	1	65	ConstantPasfr	0	1	0	0	0	0	0
450	Madagascar	GG	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
454	Malawi	TS	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
458	Malaysia	DG	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_North	"c(1,0.75)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
462	Maldives	DG	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
466	Mali	TS	0	1950	9	0	Model life tables	CD_South	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
470	Malta	MW	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,8)"	1	65	Global Norm	0	0	0	0	0	0	0
584	Marshall Islands	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
474	Martinique	GG	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
478	Mauritania	VK	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
480	Mauritius	GG	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	450	0	1
175	Mayotte	VK	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	638	0	1
484	Mexico	GBHC	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,3)"	1	65	Global Norm	0	0	0	0	0	0	0
583	Micronesia (Fed. States of)	GG	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
492	Monaco	PG	1	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
496	Mongolia	DG	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.85)"	0	"c(-2,5)"	0	65	ConstantPasfr	0	1	0	0	0	0	0
499	Montenegro	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.9)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
500	Montserrat	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	UN_Far_Eastern	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	92	0	1
504	Morocco	VK	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
